Temps(s),Température air (°C),Température point de rosée (°C),Nature des précipitations,Vitesse du vent (m/s),Rayonnement global (W/m2),Rayonnement atmosphérique (W/m2)
0.00,8.50,5.72,0.00,0.00,0.00,248.36
3600.00,6.67,4.47,0.00,0.00,0.00,246.91
7200.00,5.18,3.30,0.00,0.00,0.00,247.55
10800.00,4.01,2.25,0.00,0.00,0.00,245.00
14400.00,2.97,1.27,0.00,0.00,0.00,244.91
18000.00,2.42,0.83,0.00,0.00,0.00,265.82
21600.00,3.27,1.78,0.00,0.00,0.00,338.18
25200.00,4.49,3.01,0.00,0.00,0.00,338.91
28800.00,5.21,3.69,0.00,0.00,9.91,332.45
32400.00,6.23,4.72,0.00,0.00,48.09,342.27
36000.00,7.60,6.21,0.00,0.00,101.45,346.55
39600.00,9.90,7.79,0.00,0.00,465.09,285.18
43200.00,13.10,7.66,0.00,0.20,691.27,271.00
46800.00,15.09,6.57,0.00,0.38,907.14,295.05
50400.00,14.97,6.99,0.00,1.34,371.45,343.64
54000.00,14.14,7.55,0.00,1.46,310.45,347.64
57600.00,15.40,7.83,0.00,1.46,588.64,344.55
61200.00,16.07,7.73,0.00,1.97,632.36,336.36
64800.00,16.44,7.79,0.00,0.96,331.18,336.09
68400.00,16.34,7.32,0.00,0.66,241.45,331.36
72000.00,15.68,7.82,0.09,1.09,75.91,347.64
75600.00,13.89,8.21,0.09,1.99,69.64,351.64
79200.00,13.52,7.88,0.00,1.09,20.36,353.45
82800.00,12.61,7.80,0.00,1.49,0.18,350.73
86400.00,12.17,7.80,0.00,1.26,0.00,347.82
90000.00,11.87,7.73,0.00,0.20,0.00,345.45
93600.00,11.82,7.61,0.00,0.20,0.00,350.82
97200.00,11.35,7.48,0.00,0.10,0.00,320.91
100800.00,9.71,6.72,0.00,0.00,0.00,261.36
104400.00,7.53,5.32,0.00,0.00,0.00,252.18
108000.00,5.91,4.07,0.00,0.00,0.00,250.91
111600.00,5.29,3.65,0.00,0.00,0.00,315.82
115200.00,6.50,4.99,0.00,0.00,4.91,336.09
118800.00,7.67,6.09,0.00,0.00,89.09,314.09
122400.00,9.80,7.42,0.00,0.00,249.82,278.64
126000.00,13.07,7.74,0.00,0.00,515.55,262.45
129600.00,14.33,6.87,0.00,0.20,419.55,312.55
133200.00,14.98,7.11,0.00,0.10,567.00,316.36
136800.00,16.08,6.65,0.00,0.78,702.09,335.36
140400.00,16.49,6.68,0.00,0.45,437.91,348.36
144000.00,17.13,7.20,0.00,1.84,675.00,334.55
147600.00,17.60,7.29,0.00,1.92,646.64,323.64
151200.00,16.57,6.73,0.00,2.93,493.36,329.55
154800.00,16.01,6.63,0.00,2.93,381.09,334.82
158400.00,15.34,6.34,0.00,2.10,166.45,345.00
162000.00,14.16,5.98,0.00,2.35,61.27,349.00
165600.00,12.94,6.53,0.00,2.35,17.00,351.00
169200.00,11.75,6.07,0.00,1.41,0.00,345.27
172800.00,11.13,6.46,0.27,0.58,0.00,344.82
176400.00,10.74,6.98,1.00,0.30,0.00,350.91
180000.00,10.56,7.59,1.00,1.46,0.00,351.82
183600.00,10.47,7.85,1.00,0.83,0.00,323.36
187200.00,10.53,7.73,1.00,0.56,0.00,324.36
190800.00,11.13,8.04,0.09,3.13,0.00,330.64
194400.00,10.98,8.28,0.00,1.87,0.00,329.64
198000.00,10.91,8.71,0.18,1.57,0.00,355.45
201600.00,10.97,8.99,0.00,1.87,5.64,341.18
205200.00,11.78,9.34,0.00,2.25,53.82,348.91
208800.00,12.47,9.49,0.00,3.03,109.91,340.36
212400.00,12.97,9.77,0.00,2.55,129.00,339.36
216000.00,13.80,10.45,0.00,2.75,192.82,356.36
219600.00,14.55,11.36,0.09,2.02,200.73,364.73
223200.00,15.40,11.39,0.00,2.73,216.91,369.09
226800.00,16.37,11.41,0.00,2.83,320.27,360.73
230400.00,18.00,11.37,0.00,2.95,572.73,358.91
234000.00,18.13,11.73,0.00,2.65,382.45,365.27
237600.00,17.84,11.60,0.00,3.08,344.73,376.64
241200.00,18.62,11.41,0.00,3.18,424.45,335.91
244800.00,17.30,10.56,0.00,3.79,173.00,333.55
248400.00,16.89,10.73,0.00,4.32,254.00,331.27
252000.00,15.37,9.69,0.00,3.74,71.18,336.91
255600.00,14.34,9.89,0.00,2.35,5.55,315.82
259200.00,13.65,9.40,0.00,1.39,0.00,308.91
262800.00,13.65,9.31,0.00,0.63,0.00,330.45
266400.00,13.61,9.31,0.00,1.99,0.00,360.73
270000.00,13.34,9.17,0.00,1.24,0.00,361.18
273600.00,13.28,9.22,0.00,1.89,0.00,359.73
